name,position,values
Title,1,['Default Title']
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,['Default Title']
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Bundle,1,Tropical Glow Cleanser
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Bundle,1,100% Organic Coconut Melt Mini
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"Original Gold, Rose Gold"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"Original Gold, Rose Gold"
Color,1,"Original Gold, Rose Gold"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Billed,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"Original Gold, Rose Gold"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Bundle,1,Coconut Body Milk 2-Pack
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Scent,1,"OG Coconut, Tahitian Vanilla, Guava, NEW! Grapefruit"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,"2-Pack, 3-Pack, 4-Pack"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Scent,1,Coconut Milk
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,"Original, Beach"
Title,1,Default Title
Shade,1,"Clear, Birthday Suit, Watermelon, Beachy Peach, Nude Beach, Sheer Blush"
Bundle,2,"Clear, Birthday Suit, Watermelon, Beachy Peach, Nude Beach, Sheer Blush"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Scent,1,"OG Coconut, Tahitian Vanilla, Guava"
Title,1,Default Title
Amount,1,"$20, $40, $50, $60, $80, $100"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Bundle,1,Coconut Cleansing Oil
Title,1,Default Title
Title,1,Default Title
Scent,1,"Original, Driftwood, Beach, Tropical"
Title,1,Default Title
Title,1,Default Title
Bundle,1,100% Organic Coconut Melt Mini
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,"['Default Title', '(100% off)']"
Title,1,"Default Title, (100% off)"
Title,1,"Default Title, (100% off)"
Title,1,Default Title
Title,1,Default Title
Title,1,"Default Title, (100% off)"
Title,1,Default Title
Color,1,"Natural Beige - 110Y (Light Warm Undertone), Pinched Blush - 115P (Light Cool Undertone), Sunkissed Gold - 120N (Medium Neutral Undertone), Sunset Bronze - 125Y (Medium Warm Undertone), Tan Glow- 130N (Medium Deep Neural Undertone)"
Title,1,Default Title
Color,1,"01 Nifty Nude, 02 Playful Pink, 03 Magical Mauve, 04 Bold Brick, 05 Cheeky Cherry, 06 Majestic Magenta, 07 Radiant Red, 08 Retro Ruby, 09 Blissful Burgundy, 10 Bright Berry, 11 Addictive Almond, 12 Comforting Cocoa"
Color,1,"121 Caramel Crunch, 122 Cherry Chocolate, 123 Watermelon Coulis, 124 Berry Overload, 125 Black Currant, 126 Mississippi Mud"
Color,1,La La Sand - 121 (Nude Caramel Brown)
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,Mauve Along - 123 (Mauve Brown)
Color,1,"Bare It Is - 121 (Soft Nude), Peachy Keen - 122 (Peachy Coral), Mauve Along - 123 (Mauve Brown), Tickled Pink - 124 (Pink), D-Wine - 125 (Berry Wine), Pinched Nude - 126 (Nude), Right Muave - 127 (Mauve), Blush Crush - 128 (Pink), Blazin' Pink - 129 (pink), Coral Craze - 130 (Red)"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"01 Pink Whisper, 02 Coral The Shots, 03 Latte Love, 04 Blushing Babe, 05 Cashmere Rose, 06 Vintage Rose, 07 Mauvelous, 08 Fuchsia Fiesta, 09 Toasted Almond, 10 Pinot Passion, 11 Red My Mind, 12 Sangria Sunset"
Color,1,"Lychee-licious - 121 (Pink Nude), Pa-pa-ya - 122 (Peach Nude), Cinnamon Pop - 123 (Peachy Brown Nude), Pink Martini - 124 (Deep Rose Pink), Grapeful - 125  (Deep Mauve Pink), Cherry On Top - 126 (Bright Red), Raspberry Rush - 127 (Raspberry Pink), Very Berry - 128 (Berry), Caramello - 129 (Terracotta), Cocoa Mocha - 130 (Chocolate Brown), Truffle Tease - 131 (Deep Peach Nude), Candy Crush - 132 (Blush Pink), Toast Wanted - 133 (Medium Brown), Watermelon Sugar - 135 (Watermelon Pink), Sugar n' Spice - 136 (Vivid Pink), So Plum! - 137 (Deep Berry), Silly Chilly - 138 (True Red), Red-tini - 139 (Maroon), Wine to go - 140 (Deep Wine), Grape expectation - 134 (Ashy Mauve)"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"01 Fire, 02 Water, 03 Earth, 04 Air, 05 Space"
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Title,1,Default Title
Color,1,"125 Pink About You, 126 Orange You Lovely, 127 Bare Necessity, 128 Plum Intended"
